Garanti Tipi,Kamera Çözünürlüğü,Dahili Hafıza,Ekran Boyutu,Mobil Bağlantı Hızı,RAM Kapasitesi,Pil Gücü (mAh),Cep Telefonu Modeli,Ön Kamera Çözünürlüğü,Ön Kamera Çözünürlük Aralığı,Arka Kamera Sayısı,Kablosuz Şarj,İşletim Sistemi,Garanti Süresi,Ekran Boyut Aralığı,Yüz Tanıma,Görüntü Teknolojisi,Ekran Teknolojisi,Ekran Cinsi,Ön Kamera Sayısı,Dokunmatik Ekran,Ekran Çözünürlüğü,Çift Hat,Batarya Kapasitesi Aralığı,Ana Kamera Çözünürlük Aralığı,Şarj Hızı,Kulaklık Girişi,Parmak İzi Okuyucu,Ekran Yenileme Hızı,Radio,Şarj Girişi,NFC,Görüntülü Konuşma,Video Kayıt Çözünürlüğü,Suya/Toza Dayanıklılık,Renk,Yapay Zeka,Menşei,İşlemci Markası,Bluetooth,Ana Kamera Flaş,Arttırılabilir Hafıza (Hafıza Kartı Desteği),GPS,CPU Aralık,Kozmetik Durum,Uyumlu Marka,Materyal,Ön Kamera Flaş,Tamir Edilebilirlik,Kapasite,Çözünürlük,Bellek Kapasitesi,Bağlantılar,İşlemci Çekirdek Sayısı,İşlemci Tipi,Ram (Sistem Belleği),Görüntüleme Teknolojisi,HDMI,Hızlı Şarj,Sim Kart Uyumu,CE Uygunluk Sembolu,SSD Kapasitesi,Ekran Kartı,Kullanım Amacı,Cihaz Ağırlığı,Şarjlı Kullanım Süresi,Ekran Kartı Tipi,Ekran Kartı Hafızası,İşlemci Modeli,İşlemci Nesli,Hard Disk Kapasitesi,Panel Tipi,Ram (Sistem Belleği) Tipi,Temel İşlemci Hızı (GHz),Maksimum İşlemci Hızı (GHz),Optik Sürücü Tipi,Klavye,Ekran Kartı Bellek Tipi,Çözünürlük Standartı,Bakım Talimatları (Genel),Ekran Yenilenme Hızı,Tepki Süresi,Curved (Kavisli),Kontrast,Sync Teknolojisi,DVI-I,DVI-D,D-Sub (VGA),HDCP,Mini DisplayPort,DisplayPort,Dahili Hoparlör,Vesa Uyumluluğu,3D Desteği,Type-C,HDMI Giriş Sayısı,Çeşit,Bağlantı Tipi,Uzunluk,Priz Tipi,Frekans,Voltaj,Görüntü Kalitesi,Smart TV,Dahili Uydu Alıcı,Çözünürlük (Piksel),HDR,Wi-Fi Özelliği,Kurulum Gerekli mi?,Model Yılı,Kasa Çapı,Kasa Renk,Kordon Renk,Adımsayar,Nabız Sensörü,Titreşim,Uyku Takibi,Sesli Görüşme,Aktif Gürültü Önleme (ANC),Mikrofon,Dış Materyal,Bağlama Şekli,Taban Materyali,Saya Materyali,Topuk Boyu,İç Taban Materyali,Astar Materyali,Topuk Tipi,Desen,Kumaş Tipi,Ek Özellik,Sürdürülebilirlik Detayı,Ortam,Ürün Türü
Resmi Distribütör Garantili,13 MP + 2 MP,128 GB,"6,6 inç",4G,4 GB,5000,Belirtilmemiş,5 -10 MP,5 - 10 MP,2,Yok,Android,2 Yıl,4.5'' - 5'',Var,LCD,HD+,LCD,1,Var,HD+,Var,4500-5000 mAh,120 MP ve üstü,10-20 W,USB Type-C,Var,90 Hz,,USB Type-C,Var,,,Yok,Beyaz,Yok,,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tecno Spark Go 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siyah,,,,,,,,,,Tecno Uyumlu,Silikon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,20 MP ve üstü,256 GB,"6,8 inç",4.5G,8 GB,5000,Tecno Spark 10 Pro,20 MP,20 - 40 MP,3,Yok,Android,2 Yıl,6.5'' - 7'',Var,LCD,,LCD,1,Var,FHD+,Var,5000-6000 mAh,40 - 60 MP,10-20 W,3.5 mm,Var,60 Hz,,USB Type-C,Var,,,Yok,Siyah,Yok,,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Üretici Garantili,108 MP + 8 MP + 2 MP + 2 MP,256 GB,"6,71 inç",4.5G,12 GB,5000,,10 - 20 MP,20 - 40 MP,3,Yok,Android,2 Yıl,4.5'' - 5'',Yok,,,LCD,1,Var,FHD+,Var,4500-5000 mAh,100 -120 MP,10-20 W,3.5 mm,Yok,60 Hz,,USB Type-C,Yok,,,Var,Siyah,Yok,,,,Var,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,50 MP,256 GB,,5G,12 GB,5000 ve üstü,,40 - 60 MP,,,Yok,Android,2 Yıl,6.5'' - 7'',,AMOLED,Dinamik AMOLED,,,,,,5000-6000 mAh,,,,Var,,,,Var,,,Var,Mor,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Üretici Garantili,20 MP ve üstü,256 GB,"6,7 inç",5G,8 GB,5000,,20 MP,15 - 20 MP,3,Yok,Android,2 Yıl,6.5'' - 7'',Var,LCD,,LCD,1,Var,FHD+,Yok,4500-5000 mAh,60 - 80 MP,10-20 W,USB Type-C,Var,120 Hz,,USB Type-C,Var,,,Var,Siyah,Yok,,,,Var,Yok,,,,,,Yok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,50 MP,256 GB,"6,7 inç",5G,12 GB,5000,,40 - 60 MP,40 - 60 MP,3,Yok,Android,2 Yıl,6.5'' - 7'',Var,AMOLED,,AMOLED,1,Var,FHD+,Var,5000-6000 mAh,40 - 60 MP,80-100 W,USB Type-C,Var,120 Hz,,USB Type-C,Var,,,Yok,Siyah,Yok,,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Türkiye Garantili,108 MP + 2 MP + 2MP,256 GB,"6,5 inç",4.5G,8 GB,5000 ve üstü,Xiaomi Redmi 13,13 MP,10 - 15 MP,2,Yok,Android,2 Yıl,6.5'' - 7'',Var,LCD,HD+,LCD,1,Var,FHD+,Var,5000-6000 mAh,100 -120 MP,10-20 W,3.5 mm,Var,90 Hz,,USB Type-C,Var,,1080p (Full HD),Var,Siyah,Yok,AD,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,50 MP +12 MP +10 MP,256 GB,6 - 8 inç,4.5G,8 GB,5160,Xiaomi Redmi Note 14,13 MP,10 - 15 MP,2,Yok,Android,2 Yıl,6'' - 6.5'',Var,3LCD,FHD+,LCD,1,Var,FHD+,Var,4500-5000 mAh,40 - 60 MP,10-20 W,USB Type-C,Var,120 Hz,,USB Type-C,Yok,,1080p (Full HD),Yok,Siyah,Yok,TR,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
İthalatçı Garantili,,,,,,,,,,,,,2 Yıl,,,,,,,,,,,,,,,,,,,,,,Beyaz,,CN,,,,,,,,,,,Tamir Edilmez.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB Type C,1 m,C / F,60 Hz,220 - 240 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
İthalatçı Garantili,,,,,,,,,,,,,2 Yıl,,,,,,,,,,,,,,,,,,,,,,Beyaz,,CN,,,,,,,,,,,Tamir Edilmez.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB Type C,1 m,C / F,60 Hz,220 - 240 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Xiaomi Mi 13 Lite,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turuncu,,CN,,,,,,,,Xiaomi Uyumlu,Silikon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Türkiye Garantili,20 MP ve üstü,512 GB,6 inç ve üstü,5G,12 GB,6000,,5 - 8 MP,15 - 20 MP,2,Yok,Android,2 Yıl,6.5'' - 7'',Var,AMOLED,FHD+,LCD,1,Var,FHD+,Var,6000-7000 mAh,40 - 60 MP,80-100 W,3.5 mm,Var,120 Hz,,USB Type-C,Var,,1080p (Full HD),Var,Siyah,Var,CN,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Türkiye Garantili,20 MP ve üstü,512 GB,6 inç ve üstü,5G,12 GB,6000,,5 - 8 MP,15 - 20 MP,2,Yok,Android,2 Yıl,6.5'' - 7'',Var,AMOLED,FHD+,LCD,1,Var,FHD+,Var,6000-7000 mAh,40 - 60 MP,80-100 W,3.5 mm,Var,120 Hz,,USB Type-C,Var,,1080p (Full HD),Var,Siyah,Var,CN,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,50 MP +12 MP +10 MP,256 GB,6 - 8 inç,4.5G,8 GB,5160,Xiaomi Redmi Note 14,13 MP,10 - 15 MP,2,Yok,Android,2 Yıl,6'' - 6.5'',Var,3LCD,FHD+,LCD,1,Var,FHD+,Var,4500-5000 mAh,40 - 60 MP,10-20 W,USB Type-C,Var,120 Hz,,USB Type-C,Yok,,1080p (Full HD),Yok,Siyah,Yok,TR,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Türkiye Garantili,20 MP ve üstü,256 GB,"6,67 inç",,12 GB,4400,,10 - 20 MP,10 - 15 MP,4,Var,Android,2 Yıl,,Var,AMOLED,FHD+,AMOLED,1,Var,FHD+,Var,4000-4500 mAh,60 - 80 MP,10-20 W,,Var,60 Hz,,,Var,,,Var,Mavi,Var,,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Türkiye Garantili,20 MP ve üstü,256 GB,"6,67 inç",,12 GB,4400,,10 - 20 MP,10 - 15 MP,4,Var,Android,2 Yıl,,Var,AMOLED,FHD+,AMOLED,1,Var,FHD+,Var,4000-4500 mAh,60 - 80 MP,10-20 W,,Var,60 Hz,,,Var,,,Var,Mavi,Var,,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Türkiye Garantili,,256 GB,"6,67 inç",4G,8 GB,5000 ve üstü,,20 MP,20 - 40 MP,3,Yok,Android,2 Yıl,6.5'' - 7'',Var,AMOLED,HD,AMOLED,1,Var,HD,Var,5000-6000 mAh,100 -120 MP,20-40 W,3.5 mm,Var,120 Hz,,USB Type-C,Var,,1080p (Full HD),Var,Siyah,,TR,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Türkiye Garantili,50 MP,512 GB,"6,7 inç",5G,16 GB,5000,,40 - 60 MP,40 - 60 MP,4,Var,Android,2 Yıl,6.5'' - 7'',Var,,,,1,Var,,Var,4500-5000 mAh,40 - 60 MP,80-100 W,USB Type-C,Var,120 Hz,,USB Type-C,Var,,,Var,Siyah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,,,,,,,,,,,,,2 Yıl,,,,,,,,,,200-300 mAh,,,,,,,,,,,Var,Siyah,,CN,,,,,Var,,,,,,,,,,,,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 mm,Siyah,Gri,Var,Var,Var,Var,Var,,,,,,,,,,,,,,,,
Xiaomi Türkiye Garantili,108 MP + 2 MP + 2MP,256 GB,"6,5 inç",4.5G,8 GB,5000 ve üstü,Xiaomi Redmi 13,13 MP,10 - 15 MP,2,Yok,Android,2 Yıl,6.5'' - 7'',Var,LCD,HD+,LCD,1,Var,FHD+,Var,5000-6000 mAh,100 -120 MP,10-20 W,3.5 mm,Var,90 Hz,,USB Type-C,Var,,1080p (Full HD),Var,Siyah,Yok,AD,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Türkiye Garantili,64 MP + 8 MP + 2 MP + 2 MP,512 GB,"6,67 inç",4G,12 GB,5000,,1 MP ve altı,60 - 80 MP,3,Yok,Android,2 Yıl,6.5'' - 7'',Yok,,,LCD,1,Var,FHD+,Var,5000-6000 mAh,60 - 80 MP,10-20 W,3.5 mm,Var,60 Hz,,USB Type-C,Var,,,Var,Mor,Yok,,,,Var,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Türkiye Garantili,50 MP,256 GB,"6,67 inç",5G,12 GB,5000 ve üstü,Xiaomi Redmi Note 14,20 MP,40 - 60 MP,4,Var,Android,2 Yıl,6'' - 6.5'',Var,AMOLED,Dinamik AMOLED,AMOLED,1,Var,HD+,Yok,5000-6000 mAh,20 - 40 MP,10-20 W,USB Type-C,Var,144 Hz,,USB Type-C,Var,,1080p (Full HD),Var,Gri,Var,,,,Var,Var,,,,,,Yok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Türkiye Garantili,50 MP,512 GB,"6,67 inç",5G,12 GB,5000 ve üstü,Belirtilmemiş,8 MP ve üstü,40 - 60 MP,3,Var,Android,2 Yıl,6'' - 6.5'',Var,LCD,Dinamik AMOLED,AMOLED,1,Var,HD+,Yok,4500-5000 mAh,40 - 60 MP,100-120 W,USB Type-C,Var,144 Hz,,USB Type-C,Var,,1080p (Full HD),Var,Siyah,Var,CN,,,Var,Yok,,,,,,Yok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,50 MP +12 MP +10 MP,256 GB,6 - 8 inç,4.5G,8 GB,5160,Xiaomi Redmi Note 14,13 MP,10 - 15 MP,2,Yok,Android,2 Yıl,6'' - 6.5'',Var,3LCD,FHD+,LCD,1,Var,FHD+,Var,4500-5000 mAh,40 - 60 MP,10-20 W,USB Type-C,Var,120 Hz,,USB Type-C,Yok,,1080p (Full HD),Yok,Siyah,Yok,TR,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Xiaomi Redmi Note 13 Pro 4G,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siyah,,CN,,,,,,,,Xiaomi Uyumlu,Silikon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,50 MP +12 MP +10 MP,256 GB,6 - 8 inç,4.5G,8 GB,5160,Xiaomi Redmi Note 14,13 MP,10 - 15 MP,2,Yok,Android,2 Yıl,6'' - 6.5'',Var,3LCD,FHD+,LCD,1,Var,FHD+,Var,4500-5000 mAh,40 - 60 MP,10-20 W,USB Type-C,Var,120 Hz,,USB Type-C,Yok,,1080p (Full HD),Yok,Siyah,Yok,TR,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Poco X7 Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siyah,,CN,,,,,,,,POCO Uyumlu,Silikon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Türkiye Garantili,5 - 10 MP,128 GB,"6,8 inç",4G,8 GB,4000 - 5000,Xiaomi Redmi 12C,8 MP,5 - 10 MP,3,Yok,Android,2 Yıl,6.5'' - 7'',Var,LCD,FHD+,IPS LCD,1,Var,FHD+,Var,4000-4500 mAh,5 - 10 MP,10-20 W,USB Type-C,Var,90 Hz,,USB Type-C,Yok,,1080p (Full HD),Yok,Siyah,Yok,,,,Var,Var,,,,,,Yok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Türkiye Garantili,20 MP ve üstü,256 GB,"6,67 inç",,12 GB,4400,,10 - 20 MP,10 - 15 MP,4,Var,Android,2 Yıl,,Var,AMOLED,FHD+,AMOLED,1,Var,FHD+,Var,4000-4500 mAh,60 - 80 MP,10-20 W,,Var,60 Hz,,,Var,,,Var,Mavi,Var,,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Xiaomi Redmi Note 11 Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yeşil,,CN,,,,,,,,Xiaomi Uyumlu,Silikon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nemli bir bezle silin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Türkiye Garantili,50 MP,512 GB,"6,67 inç",5G,12 GB,5000,Xiaomi 13 Lite,16 MP,20 - 40 MP,3,Yok,Android,2 Yıl,6.5'' - 7'',Var,AMOLED,FHD+,LCD,1,Var,FHD+,Var,4500-5000 mAh,40 - 60 MP,10-20 W,3.5 mm,Var,120 Hz,,USB Type-C,Var,,1080p (Full HD),Var,Siyah,Yok,AD,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Türkiye Garantili,200 MP + 8 MP + 2 MP,256 GB,"6,67 inç",4G,8 GB,5000,Xiomi Redmi Note 12,16 MP,15 - 20 MP,3,Yok,Android,2 Yıl,6.5'' - 7'',Var,AMOLED,FHD+,AMOLED,1,Var,FHD+,Var,5000-6000 mAh,120 MP ve üstü,60-80 W,3.5 mm,Var,120 Hz,,USB Type-C,Var,,1080p (Full HD),Var,Siyah,Var,AD,,,Var,Var,,,,,,Var,,,,,,,,,,,,,Ürün görselinde bulunuyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Türkiye Garantili,200 MP + 8 MP + 2 MP,256 GB,"6,67 inç",4G,8 GB,5000,Xiomi Redmi Note 12,16 MP,15 - 20 MP,3,Yok,Android,2 Yıl,6.5'' - 7'',Var,AMOLED,FHD+,AMOLED,1,Var,FHD+,Var,5000-6000 mAh,120 MP ve üstü,60-80 W,3.5 mm,Var,120 Hz,,USB Type-C,Var,,1080p (Full HD),Var,Siyah,Var,AD,,,Var,Var,,,,,,Var,,,,,,,,,,,,,Ürün görselinde bulunuyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
İthalatçı Garantili,,,,,,,,,,,,,2 Yıl,,,,,,,,,,,,,,,,,,,,,,Yeşil,,TR,,,,,,,,,,,,,,,,,,,,,,,Ürün görselinde bulunmuyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB Type C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Türkiye Garantili,20 MP ve üstü,512 GB,6 inç ve üstü,5G,12 GB,6000,,5 - 8 MP,15 - 20 MP,2,Yok,Android,2 Yıl,6.5'' - 7'',Var,AMOLED,FHD+,LCD,1,Var,FHD+,Var,6000-7000 mAh,40 - 60 MP,80-100 W,3.5 mm,Var,120 Hz,,USB Type-C,Var,,1080p (Full HD),Var,Siyah,Var,CN,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Türkiye Garantili,108 MP + 8 MP + 2 MP,256 GB,"6,67 inç",4.5G,8 GB,5000,,16 MP,100 -120 MP,3,Yok,Android,2 Yıl,6.5'' - 7'',Var,LCD,DLED,LCD,1,Var,FHD+,Var,4500-5000 mAh,100 -120 MP,10-20 W,3.5 mm,Var,120 Hz,,USB Type-C,Var,,1080p (Full HD),Var,Siyah,Yok,AD,,,Var,Var,,,,,,Yok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Türkiye Garantili,20 MP ve üstü,512 GB,6 inç ve üstü,5G,12 GB,6000,,5 - 8 MP,15 - 20 MP,2,Yok,Android,2 Yıl,6.5'' - 7'',Var,AMOLED,FHD+,LCD,1,Var,FHD+,Var,6000-7000 mAh,40 - 60 MP,80-100 W,3.5 mm,Var,120 Hz,,USB Type-C,Var,,1080p (Full HD),Var,Siyah,Var,CN,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Poco X6,,,,,,Belirtilmemiş,,,,,,,,,,,,,,,,,,,,,,Turuncu,,,,,,,,,,POCO Uyumlu,Silikon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Türkiye Garantili,50 MP + 2 MP + 2 MP,256 GB,"6,7 inç",4.5G,8 GB,5000,Xiaomi Redmi 12C,8 MP,5 - 10 MP,2,Yok,Android,2 Yıl,6.5'' - 7'',Yok,LCD,DLED,IPS LCD,1,Var,FHD+,Var,5000-6000 mAh,40 - 60 MP,10-20 W,3.5 mm,Var,90 Hz,,USB Type-C,Yok,,1080p (Full HD),Var,Siyah,Yok,AD,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Türkiye Garantili,20 MP ve üstü,512 GB,6 inç ve üstü,5G,12 GB,6000,,5 - 8 MP,15 - 20 MP,2,Yok,Android,2 Yıl,6.5'' - 7'',Var,AMOLED,FHD+,LCD,1,Var,FHD+,Var,6000-7000 mAh,40 - 60 MP,80-100 W,3.5 mm,Var,120 Hz,,USB Type-C,Var,,1080p (Full HD),Var,Siyah,Var,CN,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,,,,,,,,,,,,,2 Yıl,,,,,,,,,,,,,,,,,,,,,,Beyaz,,CN,,,,,,,,,,,Yetkili Servis ile Tamiri Gerekir.,,,,,,,,,,Var,,Ürün görselinde bulunuyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB Type C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CN,,,,,,,,Samsung Uyumlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1 Yıl,,,,,,,,,,,,,,,,,,,,,,Siyah,,AE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Var,Var,,,,,,,,,,,,,,
İthalatçı Garantili,,,,,,,,,,,,,2 Yıl,,,,,,,,,,,,,,,,,,,,,,Beyaz,,CN,,,,,,,,,,,Yetkili Servis ile Tamiri Gerekir.,,,,,,,,,,Var,,Ürün görselinde bulunmuyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB Type C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,iPhone 5S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apple Uyumlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xiaomi Uyumlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
